season,week,matchup_id,is_playoff,is_consolation,home_team_id,home_team_name,home_score,away_team_id,away_team_name,away_score,winner,margin,home_owner_name,away_owner_name,home_owner_slug,away_owner_slug
2019,1,,0,0,7,Krafts Massage Parlor ,122.0,2,Cincinnati Gun Owners Club,124.0,Cincinnati Gun Owners Club,2.0,Justin,Gerson,justin,gerson
2019,1,,0,0,5,McDonalds all Day breakfast ,113.0,8,Team King,129.0,Team King,16.0,Max,Connor,max,connor
2019,1,,0,0,9,McLaurin F1,101.0,10,K-Pop  Superstars,112.0,K-Pop  Superstars,11.0,Tyler,Tanner,tyler,tanner
2019,1,,0,0,4,1017 BrickSquad,94.0,1,Shoneys Squanch Squad,185.0,Shoneys Squanch Squad,91.0,Mike,Ethan,mike,ethan
2019,1,,0,0,3,Mr. Rodgers hood 12 bitch,118.0,6,Hunt's Hit Squad,114.0,Mr. Rodgers hood 12 bitch,4.0,Matt,Nathaniel,matt,nathaniel
2019,2,,0,0,8,Team King,135.0,10,K-Pop  Superstars,144.0,K-Pop  Superstars,9.0,Connor,Tanner,connor,tanner
2019,2,,0,0,1,Shoneys Squanch Squad,116.0,7,Krafts Massage Parlor ,129.0,Krafts Massage Parlor ,13.0,Ethan,Justin,ethan,justin
2019,2,,0,0,6,Hunt's Hit Squad,84.0,2,Cincinnati Gun Owners Club,99.0,Cincinnati Gun Owners Club,15.0,Nathaniel,Gerson,nathaniel,gerson
2019,2,,0,0,4,1017 BrickSquad,87.0,5,McDonalds all Day breakfast ,100.0,McDonalds all Day breakfast ,13.0,Mike,Max,mike,max
2019,2,,0,0,3,Mr. Rodgers hood 12 bitch,123.0,9,McLaurin F1,101.0,Mr. Rodgers hood 12 bitch,22.0,Matt,Tyler,matt,tyler
2019,3,,0,0,1,Shoneys Squanch Squad,156.0,6,Hunt's Hit Squad,129.0,Shoneys Squanch Squad,27.0,Ethan,Nathaniel,ethan,nathaniel
2019,3,,0,0,8,Team King,139.0,4,1017 BrickSquad,148.0,1017 BrickSquad,9.0,Connor,Mike,connor,mike
2019,3,,0,0,10,K-Pop  Superstars,101.0,3,Mr. Rodgers hood 12 bitch,139.0,Mr. Rodgers hood 12 bitch,38.0,Tanner,Matt,tanner,matt
2019,3,,0,0,7,Krafts Massage Parlor ,107.0,5,McDonalds all Day breakfast ,134.0,McDonalds all Day breakfast ,27.0,Justin,Max,justin,max
2019,3,,0,0,2,Cincinnati Gun Owners Club,116.0,9,McLaurin F1,108.0,Cincinnati Gun Owners Club,8.0,Gerson,Tyler,gerson,tyler
2019,4,,0,0,4,1017 BrickSquad,99.0,3,Mr. Rodgers hood 12 bitch,115.0,Mr. Rodgers hood 12 bitch,16.0,Mike,Matt,mike,matt
2019,4,,0,0,5,McDonalds all Day breakfast ,108.0,1,Shoneys Squanch Squad,80.0,McDonalds all Day breakfast ,28.0,Max,Ethan,max,ethan
2019,4,,0,0,9,McLaurin F1,141.0,6,Hunt's Hit Squad,103.0,McLaurin F1,38.0,Tyler,Nathaniel,tyler,nathaniel
2019,4,,0,0,7,Krafts Massage Parlor ,77.0,8,Team King,173.0,Team King,96.0,Justin,Connor,justin,connor
2019,4,,0,0,2,Cincinnati Gun Owners Club,120.0,10,K-Pop  Superstars,99.0,Cincinnati Gun Owners Club,21.0,Gerson,Tanner,gerson,tanner
2019,5,,0,0,5,McDonalds all Day breakfast ,102.0,9,McLaurin F1,118.0,McLaurin F1,16.0,Max,Tyler,max,tyler
2019,5,,0,0,4,1017 BrickSquad,129.0,7,Krafts Massage Parlor ,123.0,1017 BrickSquad,6.0,Mike,Justin,mike,justin
2019,5,,0,0,3,Mr. Rodgers hood 12 bitch,132.0,2,Cincinnati Gun Owners Club,119.0,Mr. Rodgers hood 12 bitch,13.0,Matt,Gerson,matt,gerson
2019,5,,0,0,1,Shoneys Squanch Squad,98.0,8,Team King,169.0,Team King,71.0,Ethan,Connor,ethan,connor
2019,5,,0,0,6,Hunt's Hit Squad,149.0,10,K-Pop  Superstars,172.0,K-Pop  Superstars,23.0,Nathaniel,Tanner,nathaniel,tanner
2019,6,,0,0,2,Cincinnati Gun Owners Club,123.0,8,Team King,79.0,Cincinnati Gun Owners Club,44.0,Gerson,Connor,gerson,connor
2019,6,,0,0,10,K-Pop  Superstars,110.0,1,Shoneys Squanch Squad,107.0,K-Pop  Superstars,3.0,Tanner,Ethan,tanner,ethan
2019,6,,0,0,6,Hunt's Hit Squad,122.0,4,1017 BrickSquad,135.0,1017 BrickSquad,13.0,Nathaniel,Mike,nathaniel,mike
2019,6,,0,0,3,Mr. Rodgers hood 12 bitch,138.0,5,McDonalds all Day breakfast ,117.0,Mr. Rodgers hood 12 bitch,21.0,Matt,Max,matt,max
2019,6,,0,0,9,McLaurin F1,111.0,7,Krafts Massage Parlor ,127.0,Krafts Massage Parlor ,16.0,Tyler,Justin,tyler,justin
2019,7,,0,0,1,Shoneys Squanch Squad,89.0,2,Cincinnati Gun Owners Club,118.0,Cincinnati Gun Owners Club,29.0,Ethan,Gerson,ethan,gerson
2019,7,,0,0,4,1017 BrickSquad,97.0,10,K-Pop  Superstars,74.0,1017 BrickSquad,23.0,Mike,Tanner,mike,tanner
2019,7,,0,0,5,McDonalds all Day breakfast ,66.0,6,Hunt's Hit Squad,133.0,Hunt's Hit Squad,67.0,Max,Nathaniel,max,nathaniel
