season,round,overall_pick,owner_raw,player_name,position
2013,1,,,,
2013,1,,,,
2013,1,,,,
2013,1,,,,
2013,1,,,,
2013,1,,,,
2013,2,,,,
2013,2,,,,
2013,2,,,,
2013,2,,,,
2013,2,,,,
2013,2,,,,
2013,3,,,,
2013,3,,,,
2013,3,,,,
2013,3,,,,
2013,3,,,,
2013,3,,,,
2013,4,,,,
2013,4,,,,
2013,4,,,,
2013,4,,,,
2013,4,,,,
2013,4,,,,
2013,5,,,,
2013,5,,,,
2013,5,,,,
2013,5,,,,
2013,5,,,,
2013,5,,,,
2013,6,,,,
2013,6,,,,
2013,6,,,,
2013,6,,,,
2013,6,,,,
2013,6,,,,
2013,7,,,,
2013,7,,,,
2013,7,,,,
2013,7,,,,
2013,7,,,,
2013,7,,,,
2013,8,,,,
2013,8,,,,
2013,8,,,,
2013,8,,,,
2013,8,,,,
2013,8,,,,
2013,9,,,,
2013,9,,,,
2013,9,,,,
2013,9,,,,
2013,9,,,,
2013,9,,,,
2013,10,,,,
2013,10,,,,
2013,10,,,,
2013,10,,,,
2013,10,,,,
2013,10,,,,
2013,11,,,,
2013,11,,,,
2013,11,,,,
2013,11,,,,
2013,11,,,,
2013,11,,,,
2013,12,,,,
2013,12,,,,
2013,12,,,,
2013,12,,,,
2013,12,,,,
2013,12,,,,
2013,13,,,,
2013,13,,,,
2013,13,,,,
2013,13,,,,
2013,13,,,,
2013,13,,,,
2013,14,,,,
2013,14,,,,
2013,14,,,,
2013,14,,,,
2013,14,,,,
2013,14,,,,
2013,15,,,,
2013,15,,,,
2013,15,,,,
2013,15,,,,
2013,15,,,,
2013,15,,,,
2013,16,,,,
2013,16,,,,
2013,16,,,,
2013,16,,,,
2013,16,,,,
2013,16,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,1,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,2,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,3,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,4,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,5,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,6,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,7,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,8,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,9,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,10,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,11,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,12,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,13,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,14,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,15,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2014,16,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,1,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,2,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,3,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,4,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,5,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,6,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,7,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,8,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,9,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,10,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,11,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,12,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,13,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,14,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,15,,,,
2015,16,,,,
2015,16,,,,
2015,16,,,,
2015,16,,,,
2015,16,,,,
2015,16,,,,
2015,16,,,,
